Alpine County
Modoc County
Sierra County
Trinity County
Tuolumne County
Yuba County
Tehama County
Siskiyou County
San Benito
Plumas County
Mono County
Mariposa County
Lassen County
Lake County
Inyo County
Glenn County
Del Norte
Calaveras County
Colusa County
Amador County
